"site","cid","burnt","N","juv","mat","scale","heterogen"
"DuncanSaddle",1818,1,NA,NA,NA,"Scale_3",701.86328125
"DuncanSaddle",1818,1,NA,NA,NA,"Scale_4",871.949829101562
"DuncanSaddle",1818,1,NA,NA,NA,"Scale_5",437.230621337891
"DuncanSaddle",1818,1,NA,NA,NA,"Scale_6",181.798965454102
"DuncanSaddle",1818,1,NA,NA,NA,"Scale_7",83.3892211914062
"DuncanSaddle",1818,1,NA,NA,NA,"Scale_8",35.5082473754883
"DuncanSaddle",1818,1,NA,NA,NA,"Scale_9",13.2849130630493
"DuncanSaddle",1224,1,NA,NA,NA,"Scale_1",347.708099365234
"DuncanSaddle",1224,1,NA,NA,NA,"Scale_2",381.532257080078
"DuncanSaddle",1224,1,NA,NA,NA,"Scale_3",725.354919433594
"DuncanSaddle",1224,1,NA,NA,NA,"Scale_4",669.055114746094
"DuncanSaddle",1224,1,NA,NA,NA,"Scale_5",396.087158203125
"DuncanSaddle",1224,1,NA,NA,NA,"Scale_6",199.805023193359
"DuncanSaddle",1224,1,NA,NA,NA,"Scale_7",81.9324569702148
"DuncanSaddle",1224,1,NA,NA,NA,"Scale_8",29.8582191467285
"DuncanSaddle",1224,1,NA,NA,NA,"Scale_9",10.4074392318726
"DuncanSaddle",3155,1,NA,NA,NA,"Scale_1",48.7773132324219
"DuncanSaddle",3155,1,NA,NA,NA,"Scale_2",155.742813110352
"DuncanSaddle",3155,1,NA,NA,NA,"Scale_3",278.3798828125
"DuncanSaddle",3155,1,NA,NA,NA,"Scale_4",298.437225341797
"DuncanSaddle",3155,1,NA,NA,NA,"Scale_5",238.152877807617
"DuncanSaddle",3155,1,NA,NA,NA,"Scale_6",96.3786773681641
"DuncanSaddle",3155,1,NA,NA,NA,"Scale_7",38.3995742797852
"DuncanSaddle",3155,1,NA,NA,NA,"Scale_8",16.3817958831787
"DuncanSaddle",3155,1,NA,NA,NA,"Scale_9",5.3055305480957
"DuncanSaddle",2129,0,NA,NA,NA,"Scale_1",385.5419921875
"DuncanSaddle",2129,0,NA,NA,NA,"Scale_2",1738.61047363281
"DuncanSaddle",2129,0,NA,NA,NA,"Scale_3",5031.8525390625
"DuncanSaddle",2129,0,NA,NA,NA,"Scale_4",3238.94482421875
"DuncanSaddle",2129,0,NA,NA,NA,"Scale_5",2076.58984375
"DuncanSaddle",2129,0,NA,NA,NA,"Scale_6",894.194641113281
"DuncanSaddle",2129,0,NA,NA,NA,"Scale_7",420.510650634766
"DuncanSaddle",2129,0,NA,NA,NA,"Scale_8",163.867065429688
"DuncanSaddle",2129,0,NA,NA,NA,"Scale_9",60.0573081970215
"DuncanSaddle",1547,1,NA,NA,NA,"Scale_1",19.2240867614746
"DuncanSaddle",1547,1,NA,NA,NA,"Scale_2",10.5687007904053
"DuncanSaddle",1547,1,NA,NA,NA,"Scale_3",26.1127014160156
"DuncanSaddle",1547,1,NA,NA,NA,"Scale_4",38.1548347473145
"DuncanSaddle",1547,1,NA,NA,NA,"Scale_5",31.9914569854736
"DuncanSaddle",1547,1,NA,NA,NA,"Scale_6",19.2939414978027
"DuncanSaddle",1547,1,NA,NA,NA,"Scale_7",8.59392356872559
"DuncanSaddle",1547,1,NA,NA,NA,"Scale_8",2.91669058799744
"DuncanSaddle",1547,1,NA,NA,NA,"Scale_9",0.899077415466309
"DuncanSaddle",3051,1,NA,NA,NA,"Scale_1",6.34685516357422
"DuncanSaddle",3051,1,NA,NA,NA,"Scale_2",25.4452991485596
