"cid","site","rugosity"
167,"InitialPointBurn",0.0856231420515755
9,"InitialPointBurn",0.372682262453675
154,"InitialPointBurn",0.0716500247057508
99,"InitialPointBurn",0.29881569773272
117,"InitialPointBurn",0.342098356386347
448,"InitialPointBurn",0.0300084814985225
178,"InitialPointBurn",0.145108505351822
498,"InitialPointBurn",0.015602913739409
88,"InitialPointBurn",0.241326332751443
480,"InitialPointBurn",0.417134418304112
261,"LowerDryCreek",0.125718908477629
728,"LowerDryCreek",0.247124256425725
859,"LowerDryCreek",0.236592727820416
532,"LowerDryCreek",0.399270290628009
430,"LowerDryCreek",0.281005092571496
742,"LowerDryCreek",0.291640948536772
498,"LowerDryCreek",0.099765603468581
1054,"LowerDryCreek",0.380768490311559
635,"LowerDryCreek",0.257959971799396
830,"LowerDryCreek",0.0897629709099841
512,"LowerDryCreek",0.195080528222975
192,"LowerDryCreek",0.208365774057606
814,"LowerDryCreek",0.2153258731582
732,"LowerDryCreek",0.264050774106264
377,"LowerDryCreek",0.156384310599671
450,"LowerDryCreek",0.177665657988457
668,"LowerDryCreek",0.221985800043643
269,"LowerDryCreek",0.21003344017615
196,"LowerDryCreek",0.242541476525617
935,"LowerDryCreek",0.44394782931183
931,"LowerDryCreek",0.307594202756876
717,"LowerDryCreek",0.153726562570305
625,"LowerDryCreek",0.196962889810006
746,"LowerDryCreek",0.163641206884329
1091,"LowerDryCreek",0.27541947747736
383,"LowerDryCreek",0.129329911473388
656,"LowerDryCreek",0.187013470325167
607,"LowerDryCreek",0.23669182566304
650,"LowerDryCreek",0.222126783309735
314,"LowerDryCreek",0.115893157709831
495,"LowerDryCreek",0.30024233328374
445,"LowerDryCreek",0.159995075156091
413,"LowerDryCreek",0.115770830013252
878,"LowerDryCreek",0.0567550538350011
793,"LowerDryCreek",0.110051049328167
580,"LowerDryCreek",0.275904087354803
861,"LowerDryCreek",0.131777120513009
549,"LowerDryCreek",0.166036190156135
776,"LowerDryCreek",0.265929955364137
387,"LowerDryCreek",0.0934759969142479
266,"LowerDryCreek",0.139032982731075
504,"LowerDryCreek",0.339523160506819
978,"LowerDryCreek",0.3689095825318
699,"LowerDryCreek",0.259146792135305
875,"LowerDryCreek",0.310947397038674
434,"LowerDryCreek",0.242568310346801
849,"LowerDryCreek",0.260698110637195
461,"LowerDryCreek",0.151624815377966
671,"LowerDryCreek",0.196520863304097
321,"NorthHam",0.0862654038959458
167,"NorthHam",0.0460348552749527
411,"NorthHam",0.367155562422598
261,"NorthHam",0.194064543956288
390,"NorthHam",0.0672771922019448
429,"NorthHam",0.162551933600209
74,"NorthHam",0.0805527946274563
399,"NorthHam",0.247677012375018
532,"NorthHam",0.422927975347731
200,"NorthHam",0.168206839407065
30,"NorthHam",0.0486253001773155
